URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,109.0,45,0.4155844128858155,0.06363636361006762,18.033519553072626,0.4281288723667906,7.3846593701757675,18.033519553072626,1105.0,2004.0,1.8732961586121437,2.0,5.543060718711276
bctech2012,https://insights.blackcoffer.com/streamlined-integration-interactive-brokers-api-with-python-for-desktop-trading-application/,16.0,5,0.5238094988662143,0.03565365019413642,14.596153846153847,0.43741765480895917,6.013428600385122,14.596153846153847,242.0,523.0,1.930171277997365,1.0,5.965744400527009
bctech2013,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,23.0,11,0.35294116608996573,0.049132947905877244,24.324324324324323,0.38,9.881729729729729,24.324324324324323,245.0,596.0,1.7666666666666666,1.0,5.5088888888888885
bctech2014,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,18.0,14,0.12499999609375013,0.05614035077870114,13.537037037037036,0.4158686730506156,5.581162284035061,13.537037037037036,228.0,509.0,1.8590971272229821,1.0,5.73187414500684
bctech2015,https://insights.blackcoffer.com/streamlined-trading-operations-interface-for-metatrader-4-empowering-efficient-management-and-monitoring/,10.0,6,0.24999998437500096,0.024960998400996883,30.482758620689655,0.37104072398190047,12.341519737868623,30.482758620689655,241.0,549.0,1.7692307692307692,1.0,5.285067873303167
bctech2016,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,17.0,13,0.13333332888888902,0.0537634407638648,12.767857142857142,0.393006993006993,5.264345654345655,12.767857142857142,219.0,484.0,1.8181818181818181,1.0,5.534265734265734
bctech2017,https://insights.blackcoffer.com/streamlined-equity-waterfall-calculation-and-deal-management-system/,11.0,4,0.46666663555555765,0.0313807530724252,20.333333333333332,0.3721311475409836,8.282185792349727,20.333333333333332,169.0,429.0,1.7606557377049181,1.0,5.501639344262295
bctech2018,https://insights.blackcoffer.com/automated-orthopedic-case-report-generation-harnessing-web-scraping-and-ai-integration/,8.0,3,0.4545454132231443,0.024498886359690678,23.333333333333332,0.37936507936507935,9.485079365079365,23.333333333333332,179.0,422.0,1.7253968253968255,1.0,5.43968253968254
bctech2019,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,14.0,12,0.07692307396449716,0.04933586328399267,27.107142857142858,0.3069828722002635,10.965650291737248,27.107142857142858,183.0,483.0,1.7654808959156785,1.0,5.3649538866930175
bctech2020,https://insights.blackcoffer.com/efficient-database-design-and-management-streamlining-access-and-integration-for-partner-entity-management/,18.0,11,0.24137930202140337,0.04055944050271407,33.666666666666664,0.39504950495049507,13.624686468646864,33.666666666666664,346.0,659.0,1.9029702970297029,4.0,5.7
bctech2021,https://insights.blackcoffer.com/automated-campaign-management-system-a-comprehensive-solution-with-linkedin-and-email-integration/,28.0,9,0.5135134996347703,0.06281833605633559,14.127272727272727,0.4157014157014157,5.817189657189657,14.127272727272727,231.0,524.0,1.7940797940797941,1.0,5.619047619047619
bctech2022,https://insights.blackcoffer.com/ai-driven-data-analysis-ai-tool-using-langchain-for-a-leading-real-estate-and-financing-firm-worldwide/,24.0,6,0.5999999800000007,0.0423728812960835,28.0,0.32936507936507936,11.331746031746032,28.0,246.0,624.0,1.7043650793650793,1.0,5.468253968253968
bctech2023,https://insights.blackcoffer.com/grafana-dashboard-to-visualize-and-analyze-sensors-data/,32.0,13,0.4222222128395064,0.07640067898743517,39.68181818181818,0.33906071019473083,16.008351556805163,39.68181818181818,222.0,540.0,1.7010309278350515,8.0,5.235967926689576
bctech2024,https://insights.blackcoffer.com/mvp-for-a-software-that-analyses-content-from-audio-pharma-based/,35.0,11,0.5217391190926278,0.0634482757745541,33.87096774193548,0.36095238095238097,13.692768049155147,33.87096774193548,285.0,656.0,1.7114285714285715,11.0,5.298095238095238
